"Date","Price","Open","High","Low","Vol.","Change %"
"06/14/2023","1.520","1.520","1.520","1.490","56.00K","0.00%"
"06/13/2023","1.520","1.520","1.520","1.520","10.00K","1.33%"
"06/09/2023","1.500","1.500","1.530","1.500","117.00K","0.00%"
"06/08/2023","1.500","1.550","1.550","1.480","65.00K","-1.96%"
"06/07/2023","1.530","1.530","1.540","1.530","6.00K","0.00%"
"06/06/2023","1.530","1.530","1.530","1.530","23.00K","-0.65%"
"06/05/2023","1.540","1.550","1.550","1.540","41.00K","1.99%"
"06/02/2023","1.510","1.530","1.530","1.500","61.00K","0.00%"
"06/01/2023","1.510","1.510","1.510","1.510","8.00K","-0.66%"
"05/31/2023","1.520","1.480","1.520","1.460","106.00K","2.01%"
"05/30/2023","1.490","1.490","1.490","1.490","61.00K","-0.67%"
"05/29/2023","1.500","1.500","1.520","1.460","206.00K","0.00%"
"05/26/2023","1.500","1.500","1.500","1.500","29.00K","-1.32%"
"05/25/2023","1.520","1.490","1.530","1.490","8.00K","2.01%"
"05/24/2023","1.490","1.540","1.540","1.490","114.00K","-2.61%"
"05/23/2023","1.530","1.500","1.540","1.500","258.00K","0.66%"
"05/22/2023","1.520","1.530","1.540","1.520","59.00K","0.00%"
"05/19/2023","1.520","1.520","1.540","1.500","367.00K","-1.30%"
"05/18/2023","1.540","1.540","1.540","1.540","21.00K","0.00%"
"05/17/2023","1.540","1.550","1.550","1.520","30.00K","0.00%"
"05/16/2023","1.540","1.540","1.540","1.540","12.00K","0.00%"
"05/15/2023","1.540","1.540","1.540","1.540","83.00K","0.00%"
"05/12/2023","1.540","1.500","1.540","1.480","37.00K","0.65%"
"05/11/2023","1.530","1.490","1.530","1.490","68.00K","-0.65%"
"05/10/2023","1.540","1.510","1.540","1.490","96.00K","2.67%"
"05/09/2023","1.500","1.530","1.540","1.500","72.00K","-1.96%"
"05/08/2023","1.530","1.560","1.560","1.520","49.00K","-1.92%"
"05/05/2023","1.560","1.560","1.570","1.550","212.00K","0.65%"
"05/04/2023","1.550","1.550","1.560","1.550","32.00K","0.00%"
"05/03/2023","1.550","1.560","1.560","1.540","42.00K","-0.64%"
"05/02/2023","1.560","1.570","1.570","1.560","83.00K","0.00%"
"04/28/2023","1.560","1.560","1.570","1.510","29.00K","-0.64%"
"04/27/2023","1.570","1.540","1.570","1.540","17.00K","1.29%"
"04/26/2023","1.550","1.550","1.550","1.550","2.00K","4.03%"
"04/25/2023","1.490","1.530","1.530","1.490","55.00K","-2.61%"
"04/24/2023","1.530","1.530","1.570","1.530","14.00K","0.00%"
"04/20/2023","1.530","1.530","1.530","1.520","207.00K","-3.16%"
"04/19/2023","1.580","1.520","1.580","1.520","19.00K","-0.63%"
"04/18/2023","1.590","1.580","1.590","1.580","55.00K","0.63%"
"04/17/2023","1.580","1.590","1.600","1.530","290.00K","-1.25%"
"04/14/2023","1.600","1.580","1.600","1.570","83.00K","4.58%"
"04/13/2023","1.530","1.580","1.580","1.530","29.00K","-3.16%"
"04/12/2023","1.580","1.530","1.580","1.530","121.00K","3.95%"
"04/11/2023","1.520","1.580","1.580","1.520","255.00K","-4.40%"
"04/04/2023","1.590","1.580","1.590","1.530","16.00K","0.00%"
"04/03/2023","1.590","1.590","1.590","1.590","9.00K","0.63%"
"03/31/2023","1.580","1.550","1.580","1.550","34.00K","-1.25%"
"03/30/2023","1.600","1.610","1.610","1.570","89.00K","0.00%"
"03/29/2023","1.600","1.590","1.610","1.590","43.00K","0.00%"
"03/28/2023","1.600","1.600","1.610","1.600","42.00K","0.63%"
"03/27/2023","1.590","1.600","1.610","1.590","52.00K","-0.62%"
"03/24/2023","1.600","1.610","1.610","1.600","13.00K","2.56%"
"03/23/2023","1.560","1.590","1.590","1.560","95.00K","-1.89%"
"03/22/2023","1.590","1.600","1.620","1.590","108.00K","0.00%"
"03/21/2023","1.590","1.590","1.610","1.590","29.00K","-0.62%"
"03/20/2023","1.600","1.600","1.600","1.560","41.00K","1.91%"
"03/16/2023","1.570","1.590","1.590","1.570","32.00K","0.00%"
"03/15/2023","1.570","1.600","1.600","1.570","241.00K","-1.87%"
"03/14/2023","1.600","1.600","1.600","1.600","25.00K","-1.23%"
"03/13/2023","1.620","1.620","1.630","1.580","348.00K","0.00%"
"03/10/2023","1.620","1.600","1.620","1.600","235.00K","3.18%"
"03/09/2023","1.570","1.600","1.620","1.570","160.00K","-1.87%"
"03/08/2023","1.600","1.560","1.600","1.560","21.00K","0.00%"
"03/07/2023","1.600","1.600","1.620","1.600","55.00K","0.00%"
"03/06/2023","1.600","1.600","1.600","1.600","123.00K","0.63%"
"03/03/2023","1.590","1.590","1.590","1.590","16.00K","0.00%"
"03/02/2023","1.590","1.580","1.590","1.580","30.00K","3.92%"
"03/01/2023","1.530","1.530","1.530","1.530","33.00K","-1.29%"
"02/28/2023","1.550","1.590","1.600","1.550","73.00K","0.00%"
"02/27/2023","1.550","1.560","1.560","1.550","13.00K","-0.64%"
"02/22/2023","1.560","1.560","1.560","1.560","3.00K","1.30%"
"02/21/2023","1.540","1.590","1.600","1.540","106.00K","-2.53%"
"02/20/2023","1.580","1.590","1.590","1.580","20.00K","-0.63%"
"02/17/2023","1.590","1.600","1.610","1.590","27.00K","8.16%"
"02/16/2023","1.470","1.620","1.620","1.470","295.00K","-9.26%"
"02/15/2023","1.620","1.620","1.620","1.620","3.00K","0.00%"
"02/14/2023","1.620","1.620","1.630","1.620","55.00K","0.62%"
"02/13/2023","1.610","1.590","1.610","1.590","172.00K","1.26%"
"02/10/2023","1.590","1.580","1.590","1.580","47.00K","0.00%"
"02/09/2023","1.590","1.580","1.590","1.580","183.00K","1.27%"
"02/08/2023","1.570","1.570","1.570","1.570","105.00K","0.00%"
"02/07/2023","1.570","1.570","1.570","1.560","99.00K","0.00%"
"02/06/2023","1.570","1.570","1.570","1.550","15.00K","0.00%"
"02/03/2023","1.570","1.560","1.570","1.560","22.00K","0.64%"
"02/02/2023","1.560","1.550","1.560","1.550","25.00K","0.65%"
"02/01/2023","1.550","1.550","1.550","1.510","426.00K","3.33%"
"01/31/2023","1.500","1.540","1.550","1.490","121.00K","-3.23%"
"01/30/2023","1.550","1.550","1.550","1.520","30.00K","0.00%"
"01/27/2023","1.550","1.550","1.550","1.550","52.00K","0.00%"
"01/26/2023","1.550","1.520","1.550","1.520","71.00K","1.97%"
"01/25/2023","1.520","1.560","1.560","1.520","57.00K","-2.56%"
"01/24/2023","1.560","1.520","1.560","1.510","215.00K","0.00%"
"01/23/2023","1.560","1.540","1.570","1.540","32.00K","1.30%"
"01/20/2023","1.540","1.540","1.540","1.540","276.00K","0.00%"
"01/18/2023","1.540","1.560","1.570","1.540","153.00K","-0.65%"
"01/17/2023","1.550","1.560","1.570","1.520","131.00K","-1.27%"
"01/16/2023","1.570","1.520","1.570","1.520","461.00K","3.29%"
"01/13/2023","1.520","1.550","1.550","1.520","103.00K","-0.65%"
"01/12/2023","1.530","1.530","1.560","1.520","58.00K","-0.65%"
"01/11/2023","1.540","1.550","1.560","1.540","31.00K","0.65%"
"01/10/2023","1.530","1.540","1.540","1.530","16.00K","-0.65%"
"01/09/2023","1.540","1.550","1.550","1.530","164.00K","-0.65%"
"01/06/2023","1.550","1.520","1.550","1.520","18.00K","-0.64%"
"01/05/2023","1.560","1.570","1.570","1.560","24.00K","1.30%"
"01/04/2023","1.540","1.540","1.550","1.480","197.00K","0.00%"
"01/03/2023","1.540","1.520","1.540","1.490","60.00K","-0.65%"
"12/29/2022","1.550","1.540","1.550","1.540","25.00K","0.65%"
"12/28/2022","1.540","1.540","1.540","1.540","20.00K","-1.28%"
"12/27/2022","1.560","1.490","1.560","1.490","44.00K","-0.64%"
"12/23/2022","1.570","1.550","1.580","1.550","49.00K","1.29%"
"12/22/2022","1.550","1.550","1.550","1.550","16.00K","0.00%"
"12/20/2022","1.550","1.460","1.550","1.460","62.00K","1.31%"
"12/19/2022","1.530","1.490","1.530","1.480","62.00K","0.00%"
"12/15/2022","1.530","1.530","1.540","1.480","80.00K","1.32%"
"12/14/2022","1.510","1.510","1.510","1.510","4.00K","0.00%"
"12/13/2022","1.510","1.500","1.510","1.500","34.00K","0.00%"
"12/12/2022","1.510","1.500","1.510","1.500","21.00K","2.03%"
"12/09/2022","1.480","1.470","1.500","1.450","240.00K","0.00%"
"12/07/2022","1.480","1.470","1.480","1.450","55.00K","0.00%"
"12/06/2022","1.480","1.460","1.480","1.450","39.00K","0.00%"
"12/05/2022","1.480","1.480","1.480","1.450","146.00K","0.68%"
"12/02/2022","1.470","1.450","1.500","1.450","64.00K","3.52%"
"12/01/2022","1.420","1.440","1.440","1.410","50.00K","-1.39%"
"11/29/2022","1.440","1.420","1.440","1.410","49.00K","0.00%"
"11/28/2022","1.440","1.470","1.470","1.410","92.00K","0.70%"
"11/25/2022","1.430","1.440","1.470","1.400","34.00K","0.70%"
"11/24/2022","1.420","1.440","1.470","1.390","350.00K","0.71%"
"11/23/2022","1.410","1.410","1.420","1.400","38.00K","-0.70%"
"11/22/2022","1.420","1.460","1.460","1.400","392.00K","-2.07%"
"11/21/2022","1.450","1.470","1.480","1.430","134.00K","-1.36%"
"11/18/2022","1.470","1.470","1.510","1.440","112.00K","2.08%"
"11/17/2022","1.440","1.470","1.470","1.440","137.00K","0.00%"
"11/16/2022","1.440","1.500","1.500","1.440","428.00K","-5.88%"
"11/15/2022","1.530","1.520","1.530","1.520","25.00K","2.68%"
"11/14/2022","1.490","1.490","1.530","1.450","85.00K","-2.61%"
"11/10/2022","1.530","1.530","1.530","1.530","5.00K","-1.29%"
"11/09/2022","1.550","1.490","1.590","1.490","67.00K","4.03%"
"11/08/2022","1.490","1.460","1.490","1.460","38.00K","0.00%"
"11/07/2022","1.490","1.520","1.530","1.490","34.00K","-1.97%"
"11/04/2022","1.520","1.500","1.520","1.500","37.00K","2.70%"
"11/03/2022","1.480","1.510","1.510","1.480","333.00K","-2.63%"
"11/02/2022","1.520","1.550","1.560","1.520","190.00K","-2.56%"
"10/28/2022","1.560","1.530","1.560","1.520","34.00K","-0.64%"
"10/27/2022","1.570","1.580","1.580","1.510","169.00K","-1.26%"
"10/26/2022","1.590","1.590","1.590","1.590","20.00K","0.00%"
"10/25/2022","1.590","1.550","1.590","1.550","55.00K","2.58%"
"10/24/2022","1.550","1.590","1.630","1.510","236.00K","-2.52%"
"10/21/2022","1.590","1.580","1.590","1.530","193.00K","0.00%"
"10/20/2022","1.590","1.610","1.610","1.520","221.00K","-1.24%"
"10/19/2022","1.610","1.620","1.630","1.550","175.00K","0.62%"
"10/18/2022","1.600","1.550","1.630","1.540","151.00K","0.00%"
